Price,Close,High,Low,Open,Volume
Ticker,MYM=F,MYM=F,MYM=F,MYM=F,MYM=F
Date,,,,,
2021-11-04,36009.0,36077.0,35865.0,36035.0,94341
2021-11-05,36215.0,36376.0,35949.0,35996.0,112382
2021-11-08,36312.0,36446.0,36124.0,36133.0,98439
2021-11-09,36209.0,36324.0,36066.0,36272.0,128862
2021-11-10,35992.0,36255.0,35910.0,36155.0,137406
2021-11-11,35829.0,36063.0,35823.0,35986.0,91211
2021-11-12,36013.0,36063.0,35839.0,35843.0,90838
2021-11-15,36009.0,36177.0,35950.0,36053.0,94872
2021-11-16,36061.0,36238.0,35945.0,36020.0,107994
2021-11-17,35867.0,36106.0,35816.0,36061.0,105219
2021-11-18,35811.0,35960.0,35592.0,35832.0,113801
2021-11-19,35549.0,35987.0,35490.0,35840.0,137930
2021-11-22,35571.0,35880.0,35530.0,35589.0,134224
2021-11-23,35766.0,35792.0,35370.0,35615.0,199155
2021-11-24,35749.0,35788.0,35531.0,35776.0,134581
2021-11-26,34858.0,35899.0,34630.0,35790.0,317120
2021-11-29,35077.0,35245.0,34718.0,34718.0,231742
2021-11-30,34457.0,35234.0,34382.0,35134.0,308985
2021-12-01,34002.0,34984.0,33930.0,34527.0,280467
2021-12-02,34622.0,34738.0,34020.0,34052.0,298948
2021-12-03,34566.0,34795.0,34248.0,34699.0,313385
2021-12-06,35212.0,35345.0,34579.0,34589.0,253338
2021-12-07,35713.0,35808.0,35197.0,35242.0,159990
2021-12-08,35746.0,35925.0,35588.0,35785.0,152224
2021-12-09,35753.0,35859.0,35572.0,35740.0,105331
2021-12-10,35967.0,35995.0,35702.0,35735.0,52644
2021-12-13,35645.0,36122.0,35603.0,35981.0,43058
2021-12-14,35552.0,35785.0,35437.0,35689.0,46761
2021-12-15,35926.0,35968.0,35389.0,35570.0,30767
2021-12-16,35902.0,36205.0,35777.0,35926.0,27224
2021-12-17,35676.0,35975.0,35676.0,35935.0,225453
2021-12-20,34813.0,35326.0,34547.0,35252.0,234279
2021-12-21,35381.0,35412.0,34829.0,34845.0,131131
2021-12-22,35632.0,35663.0,35286.0,35385.0,94521
2021-12-23,35832.0,35946.0,35624.0,35643.0,69273
2021-12-27,36178.0,36204.0,35754.0,35844.0,61583
2021-12-28,36282.0,36407.0,36112.0,36167.0,83612
2021-12-29,36381.0,36461.0,36250.0,36275.0,71169
2021-12-30,36291.0,36571.0,36251.0,36377.0,69672
2021-12-31,36226.0,36371.0,36120.0,36269.0,64051
2022-01-03,36455.0,36473.0,36121.0,36301.0,113594
2022-01-04,36675.0,36803.0,36409.0,36447.0,107917
2022-01-05,36291.0,36832.0,36279.0,36665.0,164133
2022-01-06,36123.0,36418.0,36078.0,36291.0,199191
2022-01-07,36107.0,36265.0,35989.0,36168.0,136629
2022-01-10,35952.0,36171.0,35520.0,36124.0,189140
2022-01-11,36128.0,36154.0,35641.0,35936.0,153327
2022-01-12,36160.0,36331.0,36039.0,36128.0,143679
2022-01-13,35989.0,36389.0,35922.0,36186.0,160861
2022-01-14,35796.0,36116.0,35515.0,36000.0,233482
2022-01-18,35259.0,35915.0,35135.0,35854.0,321130
2022-01-19,34910.0,35430.0,34881.0,35296.0,229414
2022-01-20,34616.0,35380.0,34411.0,34938.0,221203
2022-01-21,34157.0,34783.0,34101.0,34608.0,375408
2022-01-24,34253.0,34409.0,33033.0,34146.0,535230
2022-01-25,34185.0,34472.0,33423.0,34300.0,486251
2022-01-26,34055.0,34699.0,33745.0,33971.0,435640
2022-01-27,34043.0,34657.0,33531.0,34065.0,482928
2022-01-28,34595.0,34622.0,33613.0,34230.0,453202
2022-01-31,34997.0,35026.0,34313.0,34575.0,259584
2022-02-01,35274.0,35318.0,34834.0,34920.0,216762
2022-02-02,35492.0,35588.0,35168.0,35242.0,195968
2022-02-03,34971.0,35574.0,34941.0,35550.0,205520
2022-02-04,34978.0,35212.0,34665.0,35111.0,236693
2022-02-07,34969.0,35205.0,34812.0,34999.0,174560
2022-02-08,35342.0,35426.0,34931.0,35020.0,164067
2022-02-09,35641.0,35751.0,35366.0,35370.0,129647
2022-02-10,35139.0,35754.0,34989.0,35705.0,258484
2022-02-11,34627.0,35329.0,34511.0,35121.0,285435
2022-02-14,34471.0,34755.0,34205.0,34641.0,296155
2022-02-15,34904.0,34968.0,34345.0,34480.0,201555
2022-02-16,34851.0,35059.0,34557.0,34870.0,174413
2022-02-17,34231.0,34909.0,34171.0,34830.0,210260
2022-02-18,34007.0,34500.0,33900.0,34250.0,237091
2022-02-22,33525.0,34349.0,33292.0,33900.0,489972
2022-02-23,33066.0,33825.0,33015.0,33589.0,213638
2022-02-24,33156.0,33205.0,32163.0,33061.0,489877
2022-02-25,33994.0,34034.0,32761.0,33049.0,298745
2022-02-28,33840.0,33914.0,33321.0,33799.0,340732
2022-03-01,33267.0,34063.0,33064.0,33835.0,266944
2022-03-02,33849.0,33977.0,33121.0,33340.0,263816
2022-03-03,33738.0,34143.0,33597.0,33798.0,201200
2022-03-04,33583.0,33859.0,33209.0,33787.0,228870
